"Continent","Country","Date","Births","Gender"
"Africa","Egypt","1982-02-01",33818,"Female"
"Africa","Egypt","1982-02-01",34441,"Female"
"Africa","Egypt","1982-03-01",36730,"Female"
"Africa","Egypt","1982-03-01",37407,"Female"
"Africa","Egypt","1982-04-01",29595,"Female"
"Africa","Egypt","1982-04-01",30140,"Female"
"Africa","Egypt","1982-05-01",27342,"Female"
"Africa","Egypt","1982-05-01",27845,"Female"
"Africa","Egypt","1982-06-01",25171,"Female"
"Africa","Egypt","1982-06-01",25634,"Female"
"Africa","Egypt","1982-07-01",26353,"Female"
"Africa","Egypt","1982-07-01",26838,"Female"
"Africa","Egypt","1982-08-01",33323,"Female"
"Africa","Egypt","1982-08-01",33937,"Female"
"Africa","Egypt","1982-09-01",30930,"Female"
"Africa","Egypt","1982-09-01",31499,"Female"
"Africa","Egypt","1982-10-01",36876,"Female"
"Africa","Egypt","1982-10-01",37554,"Female"
"Africa","Egypt","1982-11-01",32801,"Female"
"Africa","Egypt","1982-11-01",33405,"Female"
"Africa","Egypt","1982-12-01",30790,"Female"
"Africa","Egypt","1982-12-01",31356,"Female"
"Africa","Egypt","1983-01-01",47240,"Female"
"Africa","Egypt","1983-01-01",47996,"Female"
"Africa","Egypt","1983-02-01",34446,"Female"
"Africa","Egypt","1983-02-01",34997,"Female"
"Africa","Egypt","1983-03-01",39612,"Female"
"Africa","Egypt","1983-03-01",40247,"Female"
"Africa","Egypt","1983-04-01",37152,"Female"
"Africa","Egypt","1983-04-01",37747,"Female"
"Africa","Egypt","1983-05-01",25342,"Female"
"Africa","Egypt","1983-05-01",25747,"Female"
"Africa","Egypt","1983-06-01",23127,"Female"
"Africa","Egypt","1983-06-01",23498,"Female"
"Africa","Egypt","1983-07-01",27802,"Female"
"Africa","Egypt","1983-07-01",28247,"Female"
"Africa","Egypt","1983-08-01",34692,"Female"
"Africa","Egypt","1983-08-01",35247,"Female"
"Africa","Egypt","1983-09-01",33954,"Female"
"Africa","Egypt","1983-09-01",34497,"Female"
"Africa","Egypt","1983-10-01",37644,"Female"
"Africa","Egypt","1983-10-01",38247,"Female"
"Africa","Egypt","1983-11-01",32723,"Female"
"Africa","Egypt","1983-11-01",33247,"Female"
"Africa","Egypt","1983-12-01",42073,"Female"
"Africa","Egypt","1983-12-01",42746,"Female"
"Africa","Egypt","1984-01-01",55337,"Female"
"Africa","Egypt","1984-01-01",56104,"Female"
"Africa","Egypt","1984-02-01",35569,"Female"
"Africa","Egypt","1984-02-01",36062,"Female"
"Africa","Egypt","1984-03-01",34969,"Female"
"Africa","Egypt","1984-03-01",35453,"Female"
"Africa","Egypt","1984-04-01",29801,"Female"
"Africa","Egypt","1984-04-01",30215,"Female"
"Africa","Egypt","1984-05-01",28610,"Female"
"Africa","Egypt","1984-05-01",29007,"Female"
"Africa","Egypt","1984-06-01",32957,"Female"
"Africa","Egypt","1984-06-01",33414,"Female"
"Africa","Egypt","1984-07-01",42807,"Female"
"Africa","Egypt","1984-07-01",43401,"Female"
"Africa","Egypt","1984-08-01",34281,"Female"
"Africa","Egypt","1984-08-01",34757,"Female"
"Africa","Egypt","1984-09-01",39368,"Female"
"Africa","Egypt","1984-09-01",39914,"Female"
"Africa","Egypt","1984-10-01",40426,"Female"
"Africa","Egypt","1984-10-01",40986,"Female"
"Africa","Egypt","1984-11-01",69002,"Female"
"Africa","Egypt","1984-11-01",69959,"Female"
"Africa","Egypt","1985-01-01",62771,"Female"
"Africa","Egypt","1985-01-01",63535,"Female"
"Africa","Egypt","1985-02-01",26177,"Female"
"Africa","Egypt","1985-02-01",26496,"Female"
"Africa","Egypt","1985-03-01",36830,"Female"
"Africa","Egypt","1985-03-01",37278,"Female"
"Africa","Egypt","1985-04-01",25484,"Female"
"Africa","Egypt","1985-04-01",25794,"Female"
"Africa","Egypt","1985-05-01",32524,"Female"
"Africa","Egypt","1985-05-01",32920,"Female"
"Africa","Egypt","1985-06-01",31019,"Female"
"Africa","Egypt","1985-06-01",31396,"Female"
"Africa","Egypt","1985-07-01",49819,"Female"
"Africa","Egypt","1985-07-01",50426,"Female"
"Africa","Egypt","1985-08-01",40934,"Female"
"Africa","Egypt","1985-08-01",41432,"Female"
"Africa","Egypt","1985-09-01",46986,"Female"
"Africa","Egypt","1985-09-01",47558,"Female"
"Africa","Egypt","1985-10-01",41896,"Female"
"Africa","Egypt","1985-10-01",42406,"Female"
